time (s)	magX	magY	magZ
8009.790983	-233.021622	2.746932	142.022202
8009.794319	-233.372314	2.337814	142.606659
8009.797650	-233.664520	2.337814	142.489761
8009.800986	-233.898300	2.162478	143.950897
8009.804360	-234.716537	1.928697	144.243134
8009.807656	-235.359436	1.402689	144.476913
8009.810979	-235.300995	1.052016	144.360016
8009.814317	-236.119217	0.526008	145.645828
8009.817649	-236.528351	1.636470	146.931625
8009.821015	-237.580368	1.402689	147.632965
8009.824316	-238.106369	1.052016	148.801880
8009.827648	-238.457031	0.350672	149.327881
8009.830986	-239.099930	0.526008	150.496780
8009.834315	-239.742859	-0.000000	151.841034
8009.837648	-240.794846	-0.701344	152.717712
8009.840986	-240.794846	-0.759790	153.652832
8009.844314	-241.846878	-0.701344	154.938644
8009.847644	-241.788437	-0.993571	156.341324
8009.850981	-242.781998	-1.344243	157.802444
8009.854310	-243.950912	-1.227352	158.153122
8009.857645	-244.418472	-1.110462	159.964935
8009.860999	-244.827576	-1.811806	160.724716
8009.865198	-247.223846	-2.688486	163.880783
8009.868489	-248.158981	-2.863822	165.634125
8009.871831	-248.684982	-3.214494	167.153717
8009.875201	-249.737000	-3.565166	168.264175
8009.878071	-250.146103	-3.331385	168.965515
8009.881443	-251.139694	-3.915838	170.718872
8009.884762	-252.367050	-4.383401	172.530685
8009.888087	-253.535934	-4.792519	173.524261
8009.890973	-253.711273	-4.850964	175.628296
8009.894314	-254.178833	-5.026300	177.498550
8009.897637	-255.932205	-5.493863	179.193451
8009.900976	-256.692017	-6.428989	179.894791
8009.904307	-257.568665	-6.896552	182.700180
8009.907671	-258.679138	-7.071887	184.102875
8009.910975	-258.971344	-7.422560	184.862656
8009.914305	-260.432495	-8.533022	186.732895
8009.917638	-261.484497	-8.591467	189.596725
8009.920972	-262.536530	-9.059030	191.350098
8009.924305	-263.354767	-9.468147	193.804794
8009.927636	-264.582123	-10.344828	194.739914
8009.930971	-265.634125	-10.578609	196.493286
8009.934306	-266.452362	-11.455289	199.064880
8009.937639	-268.088837	-12.039742	201.753357
8009.940970	-269.374634	-12.682642	203.974289
8009.944304	-270.251312	-13.150205	206.721207
8009.947643	-271.712433	-13.851549	208.591461
8009.950991	-272.647583	-14.202221	211.922867
8009.954308	-274.050262	-15.312682	213.559311
8009.957638	-275.160706	-15.838690	217.650482
8009.960966	-276.855621	-16.130919	220.631226
8009.965585	-278.725891	-18.059614	226.826401
8009.968514	-280.537689	-18.936295	229.222687
8009.971845	-281.823486	-19.696083	232.787842
8009.975224	-283.109283	-19.462303	236.820572
8009.978076	-284.687317	-20.572765	239.041489
8009.981423	-285.388672	-21.449446	243.307999
8009.984765	-286.732910	-22.559906	247.691422
8009.988074	-288.427826	-23.085915	250.204559
8009.991393	-289.246063	-23.611923	253.886597
8009.994333	-290.531860	-25.131502	258.153137
8009.997633	-291.876099	-25.891293	262.244293
8010.000969	-293.220337	-26.767973	266.627686
8010.004302	-294.681488	-27.703098	269.666870
8010.007631	-295.850372	-29.047340	274.225586
8010.010968	-296.434845	-30.040911	278.667450
8010.014295	-297.253052	-30.859146	281.940399
8010.017631	-298.246643	-31.209818	286.382233
8010.020964	-300.175323	-33.138515	290.122711
8010.024294	-301.753357	-34.541206	295.032135
8010.027630	-302.746948	-35.417885	299.941559
8010.030956	-303.331360	-36.645237	303.740509
8010.034297	-303.915833	-38.106369	306.955017
8010.037639	-305.669189	-39.742840	312.039734
8010.040957	-306.253662	-40.853302	316.890717
8010.044294	-306.721222	-41.846874	320.806549
8010.047629	-307.071869	-43.541790	326.008179
8010.050957	-308.182373	-44.652252	330.683807
8010.054291	-308.883698	-46.288719	336.469910
8010.057626	-309.935699	-47.516071	340.619507
8010.060955	-310.812408	-49.094097	345.119812
8010.065586	-311.104614	-52.776154	356.282867
8010.068542	-311.104614	-54.295731	361.893616
8010.071827	-311.455292	-55.698425	367.270599
8010.075239	-312.624207	-57.802456	372.705994
8010.078085	-312.039734	-59.497368	378.492126
8010.081401	-312.916412	-61.835182	384.921112
8010.084715	-312.039734	-63.004089	390.648743
8010.088058	-311.981293	-65.049675	396.376404
8010.091386	-311.864410	-67.036819	403.156036
8010.094286	-312.215088	-69.140854	408.649933
8010.097623	-311.572174	-71.303329	415.604919
8010.100954	-311.396851	-72.881355	421.507874
8010.104289	-310.812408	-74.693161	426.826416
8010.107622	-309.585052	-76.972534	434.891907
8010.110969	-308.883698	-79.193459	441.028656
8010.114288	-307.890137	-80.946815	448.100525
8010.117614	-307.481018	-83.226189	454.587982
8010.120958	-305.552307	-85.622444	461.484528
8010.124284	-304.324951	-87.142021	468.673279
8010.127621	-302.863800	-89.421394	474.810089
8010.130950	-300.818237	-91.174751	483.518402
8010.134291	-298.889526	-93.571014	490.648743
8010.137622	-297.253052	-96.201050	496.785492
8010.140952	-295.032135	-98.538864	503.331360
8010.144286	-292.986572	-100.350677	510.169495
8010.147613	-289.947388	-102.513145	516.189392
8010.150953	-287.901794	-105.376968	523.144348
8010.154306	-285.330231	-107.071892	529.222656
8010.157611	-282.583282	-109.585037	535.417908
