time (s)	det(V)
7350.141833	-0.179431	
7350.143550	-0.179294	
7350.145059	-0.178871	
7350.146812	-0.177465	
7350.148294	-0.175874	
7350.150061	-0.174867	
7350.151554	-0.173630	
7350.153348	-0.171971	
7350.154821	-0.169848	
7350.156603	-0.168567	
7350.158082	-0.166573	
7350.159867	-0.164506	
7350.161386	-0.163568	
7350.162870	-0.162335	
7350.164446	-0.160333	
7350.165967	-0.158307	
7350.167594	-0.156345	
7350.169076	-0.154524	
7350.170702	-0.152711	
7350.172224	-0.150899	
7350.173865	-0.148671	
7350.175340	-0.146588	
7350.176988	-0.144912	
7350.178458	-0.143064	
7350.180157	-0.141210	
7350.181636	-0.139345	
7350.183331	-0.137476	
7350.184822	-0.135124	
7350.186510	-0.132469	
7350.188009	-0.130507	
7350.189698	-0.128594	
7350.191207	-0.126471	
7350.192957	-0.124271	
7350.194477	-0.123047	
7350.196193	-0.120690	
7350.197733	-0.118313	
7350.199421	-0.116634	
7350.200967	-0.114406	
7350.202644	-0.111973	
7350.204215	-0.109391	
7350.205890	-0.107634	
7350.207472	-0.105362	
7350.209131	-0.103123	
7350.210736	-0.101374	
7350.212364	-0.099392	
7350.213999	-0.097459	
7350.215615	-0.095735	
7350.217248	-0.093439	
7350.218855	-0.090881	
7350.220487	-0.088609	
7350.222080	-0.086413	
7350.223744	-0.083843	
7350.225327	-0.081442	
7350.227029	-0.080077	
7350.228582	-0.077930	
7350.230282	-0.074618	
7350.231847	-0.073390	
7350.233570	-0.070832	
7350.235107	-0.067955	
7350.236825	-0.065264	
7350.238343	-0.062477	
7350.240101	-0.059742	
7350.241577	-0.057011	
7350.243355	-0.054453	
7350.244843	-0.051874	
7350.246623	-0.049002	
7350.248099	-0.046392	
7350.249868	-0.043048	
7350.251353	-0.040144	
7350.253126	-0.036748	
7350.254623	-0.033239	
7350.256367	-0.030339	
7350.257884	-0.026605	
7350.259611	-0.024091	
7350.261143	-0.020925	
7350.262830	-0.018093	
7350.264361	-0.014157	
7350.265854	-0.011277	
7350.267507	-0.007406	
7350.268993	-0.003518	
7350.270621	-0.000155	
7350.272136	0.002814	
7350.273770	0.006544	
7350.275245	0.009735	
7350.276869	0.012349	
7350.278344	0.015076	
7350.280034	0.018609	
7350.281530	0.021248	
7350.283234	0.024378	
7350.284730	0.027612	
7350.286392	0.033349	
7350.287894	0.036503	
7350.289542	0.040616	
7350.291081	0.043395	
7350.292776	0.045389	
7350.294314	0.048173	
7350.296001	0.049877	
7350.297564	0.053506	
7350.299228	0.055952	
7350.300819	0.058659	
7350.302486	0.061511	
7350.304059	0.064866	
7350.305698	0.066542	
7350.307300	0.068713	
7350.308932	0.071851	
7350.310588	0.074426	
7350.312170	0.076625	
7350.313835	0.079203	
7350.315424	0.080536	
7350.317114	0.083022	
7350.318709	0.086825	
7350.320372	0.089628	
7350.321942	0.091578	
7350.323642	0.093967	
7350.325187	0.096908	
7350.326903	0.098672	
7350.328443	0.100819	
7350.330163	0.102942	
7350.331673	0.105907	
7350.333404	0.107965	
7350.334893	0.110044	
7350.336693	0.113238	
7350.338171	0.115232	
7350.339957	0.117734	
7350.341439	0.120207	
7350.343232	0.122653	
7350.344707	0.123918	
7350.346478	0.126177	
7350.348015	0.129738	
7350.349996	0.130633	
7350.351633	0.133851	
7350.353306	0.136562	
7350.355149	0.138456	
7350.406273	0.177667	
7350.409042	0.177796	
7350.410597	0.176334	
7350.412215	0.175150	
7350.413763	0.175798	
7350.415334	0.174578	
7350.416894	0.173712	
7350.418509	0.173248	
7350.420219	0.171685	
7350.421771	0.171693	
7350.423488	0.170529	
7350.425018	0.169256	
7350.426771	0.167838	
7350.428247	0.166432	
7350.430032	0.164648	
7350.431513	0.164648	
7350.433296	0.162146	
7350.434771	0.161768	
7350.436566	0.160172	
7350.438048	0.159693	
7350.439819	0.158299	
7350.441307	0.157594	
7350.443074	0.156011	
7350.444576	0.155359	
7350.446319	0.154001	
7350.447830	0.153244	
7350.449572	0.151084	
7350.451104	0.150682	
7350.452803	0.150420	
7350.454346	0.148514	
7350.456049	0.146766	
7350.457593	0.145848	
7350.459279	0.145465	
7350.460840	0.143374	
7350.462500	0.143684	
7350.464094	0.143052	
7350.465729	0.141743	
7350.467344	0.140583	
7350.468861	0.140889	
7350.470512	0.140397	
7350.471986	0.140019	
7350.473615	0.139290	
